All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    contigs
# contigs (>= 0 bp)         866    
# contigs (>= 1000 bp)      53     
# contigs (>= 5000 bp)      1      
# contigs (>= 10000 bp)     1      
# contigs (>= 25000 bp)     1      
# contigs (>= 50000 bp)     0      
Total length (>= 0 bp)      362424 
Total length (>= 1000 bp)   123515 
Total length (>= 5000 bp)   29960  
Total length (>= 10000 bp)  29960  
Total length (>= 25000 bp)  29960  
Total length (>= 50000 bp)  0      
# contigs                   110    
Largest contig              29960  
Total length                163600 
GC (%)                      49.69  
N50                         1745   
N90                         662    
auN                         6831.1 
L50                         23     
L90                         83     
# N's per 100 kbp           0.00   
